kvrn, kvbb, kvstore, snum, wnum, run_time
2, 1000000, dist_sync, 2, 2, 356
2, 1000000, dist_sync, 2, 5, 290
2, 1000000, dist_sync, 2, 10, 470
2, 1000000, dist_sync, 5, 2, 10953
