mcwn, mcpn, mcnn, meei, run_time
1, 4, 4, true, 197
1, 4, 4, false, 203
1, 4, 1, true, 187
1, 4, 1, false, 209
1, 4, 2, true, 191
1, 4, 2, false, 207
1, 4, 8, true, 197
1, 4, 8, false, 190
1, 1, 4, true, 187
1, 1, 4, false, 189
1, 1, 1, true, 211
1, 1, 1, false, 211
1, 1, 2, true, 195
1, 1, 2, false, 185
1, 1, 8, true, 195
1, 1, 8, false, 213
1, 2, 4, true, 207
1, 2, 4, false, 181
1, 2, 1, true, 207
1, 2, 1, false, 185
1, 2, 2, true, 191
1, 2, 2, false, 197
1, 2, 8, true, 185
1, 2, 8, false, 193
1, 8, 4, true, 199
1, 8, 4, false, 189
1, 8, 1, true, 217
1, 8, 1, false, 191
1, 8, 2, true, 205
1, 8, 2, false, 211
2, 4, 4, true, 239
2, 4, 4, false, 248
2, 4, 1, true, 227
2, 4, 1, false, 212
2, 4, 2, true, 253
2, 4, 2, false, 250
2, 4, 8, true, 236
2, 4, 8, false, 243
2, 1, 4, true, 241
2, 1, 4, false, 244
2, 1, 1, true, 256
2, 1, 1, false, 231
2, 1, 2, true, 221
2, 1, 2, false, 236
2, 1, 8, true, 259
2, 1, 8, false, 246
2, 2, 4, true, 237
2, 2, 4, false, 246
2, 2, 1, true, 253
2, 2, 1, false, 242
2, 2, 2, true, 237
2, 2, 2, false, 236
2, 2, 8, true, 247
2, 2, 8, false, 248
2, 8, 4, true, 253
2, 8, 4, false, 224
2, 8, 1, true, 235
2, 8, 1, false, 258
2, 8, 2, true, 243
2, 8, 2, false, 232
4, 4, 4, true, 276
4, 4, 4, false, 271
4, 4, 1, true, 262
4, 4, 1, false, 273
4, 4, 2, true, 263
4, 4, 2, false, 265
4, 4, 8, true, 274
4, 4, 8, false, 271
4, 1, 4, true, 278
4, 1, 4, false, 272
4, 1, 1, true, 273
4, 1, 1, false, 272
4, 1, 2, true, 282
4, 1, 2, false, 276
4, 1, 8, true, 271
4, 1, 8, false, 273
4, 2, 4, true, 267
4, 2, 4, false, 270
4, 2, 1, true, 268
4, 2, 1, false, 270
4, 2, 2, true, 268
4, 2, 2, false, 279
4, 2, 8, true, 264
4, 2, 8, false, 268
4, 8, 4, true, 279
4, 8, 4, false, 269
4, 8, 1, true, 268
4, 8, 1, false, 268
4, 8, 2, true, 268
4, 8, 2, false, 266
8, 4, 4, true, 274
8, 4, 4, false, 278
8, 4, 1, true, 276
8, 4, 1, false, 278
8, 4, 2, true, 282
8, 4, 2, false, 282
8, 1, 4, true, 282
8, 1, 4, false, 285
8, 1, 1, true, 274
8, 1, 1, false, 280
8, 1, 2, true, 276
8, 1, 2, false, 280
8, 2, 4, true, 284
8, 2, 4, false, 282
8, 2, 1, true, 276
8, 2, 1, false, 272
8, 2, 2, true, 271
8, 2, 2, false, 280
